Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Price
Acer,Notebook,Windows,Intel,Nvidia,4,2.2,0,2.7,1.0,0.0,192.30769230769232,28238.4
HP,Notebook,Windows,Intel,Nvidia,8,2.5,0,1.6,1.0,0.128,173.41040462427745,52054.56
Dell,Ultrabook,Windows,Intel,Intel,8,1.88,0,1.6,0.0,0.256,192.30769230769232,58403.4048
Apple,Ultrabook,Mac,Intel,Intel,8,0.92,0,1.3,0.0,0.512,312.0,80452.8
HP,Notebook,Windows,Intel,Intel,8,1.63,0,1.6,0.0,0.256,214.28571428571428,45820.8
Lenovo,Notebook,Windows,AMD,AMD,4,2.2,0,2.5,0.0,0.128,192.30769230769232,21258.72
Acer,Notebook,Windows,AMD,AMD,4,2.1,0,3.0,1.0,0.0,136.7948717948718,21045.6
Dell,Gaming,Windows,Intel,Nvidia,16,2.65,0,2.8,1.0,0.128,192.30769230769232,71874.72
HP,Ultrabook,Windows,Intel,Nvidia,8,1.83,0,1.8,0.0,0.256,192.30769230769232,37242.72
HP,Notebook,Windows,Intel,Intel,8,1.96,0,2.5,0.0,0.256,192.30769230769232,31914.1872
Asus,Gaming,Windows,Intel,Nvidia,16,2.2,0,2.8,1.0,0.128,192.30769230769232,77202.72
Dell,Ultrabook,Windows,Intel,Intel,8,1.21,0,1.8,0.0,0.256,225.56390977443607,87858.72
Asus,Gaming,Windows,AMD,AMD,8,2.45,0,3.0,1.0,0.0,192.30769230769232,37242.72
Acer,Notebook,Windows,Intel,Nvidia,8,2.2,0,1.8,1.0,0.0,192.30769230769232,36709.92
HP,Notebook,Windows,Intel,Intel,16,1.49,0,1.8,0.0,0.512,225.56390977443607,63776.16
Dell,Gaming,Windows,Intel,Nvidia,8,2.65,0,2.5,0.0,0.256,192.30769230769232,63669.6
Asus,Ultrabook,Windows,Intel,Intel,8,1.25,0,2.7,0.0,0.256,214.28571428571428,55890.72
Acer,2 in 1 Convertible,Windows,Intel,Intel,8,1.5,1,1.6,0.0,0.256,225.56390977443607,45128.16
Dell,Notebook,Linux,Intel,AMD,8,2.2,0,2.7,1.0,0.0,192.30769230769232,31962.672
Dell,Notebook,Linux,Intel,AMD,4,2.2,0,2.0,0.0,0.256,192.30769230769232,25840.8
Asus,Notebook,Windows,Intel,Nvidia,6,2.0,0,2.4,0.0,0.256,192.30769230769232,30742.56
HP,Gaming,Windows,Intel,Nvidia,12,2.62,0,2.8,1.0,0.128,192.30769230769232,66546.72
